mode,k,algorithm,acc,acc_sdev,n_labels[b],n_labels[u],n_labels[r],n_labels[c],n_labels[g],n_labels,b.b,b.u,b.r,b.c,b.g,u.b,u.u,u.r,u.c,u.g,r.b,r.u,r.r,r.c,r.g,c.b,c.u,c.r,c.c,c.g,g.b,g.u,g.r,g.c,g.g
layers,0.03,hf,0.786,0.0,6,4,2,5,6,23,0.863,0.083,0.03,0.024,0.0,0.462,0.509,0.009,0.009,0.009,0.157,0.098,0.745,0.0,0.0,0.173,0.058,0.09,0.679,0.0,0.01,0.0,0.0,0.0,0.99
layers,0.04,hf,0.782,0.0,7,5,3,7,8,30,0.839,0.101,0.03,0.03,0.0,0.462,0.519,0.009,0.009,0.0,0.157,0.078,0.765,0.0,0.0,0.167,0.058,0.09,0.686,0.0,0.01,0.0,0.0,0.0,0.99
layers,0.05,hf,0.789,0.0,9,6,3,8,10,36,0.905,0.054,0.03,0.012,0.0,0.491,0.491,0.009,0.009,0.0,0.176,0.059,0.765,0.0,0.0,0.212,0.058,0.058,0.673,0.0,0.01,0.0,0.0,0.0,0.99
centrality,1,hf,0.603,0.0,1,1,1,1,1,5,0.446,0.417,0.095,0.042,0.0,0.264,0.613,0.085,0.0,0.038,0.118,0.078,0.804,0.0,0.0,0.628,0.064,0.083,0.224,0.0,0.0,0.0,0.01,0.0,0.99
centrality,2,hf,0.586,0.0,2,2,2,2,2,10,0.232,0.399,0.351,0.018,0.0,0.132,0.642,0.198,0.0,0.028,0.118,0.157,0.725,0.0,0.0,0.455,0.064,0.077,0.404,0.0,0.01,0.0,0.0,0.0,0.99
centrality,3,hf,0.687,0.0,3,3,3,3,3,15,0.512,0.393,0.089,0.006,0.0,0.179,0.66,0.132,0.0,0.028,0.098,0.176,0.725,0.0,0.0,0.308,0.071,0.09,0.532,0.0,0.01,0.0,0.0,0.0,0.99
centrality,4,hf,0.686,0.0,4,4,4,4,4,20,0.518,0.387,0.089,0.006,0.0,0.179,0.66,0.132,0.0,0.028,0.078,0.196,0.725,0.0,0.0,0.301,0.077,0.09,0.532,0.0,0.01,0.0,0.0,0.0,0.99
centrality,5,hf,0.736,0.0,5,5,5,5,5,25,0.655,0.28,0.06,0.006,0.0,0.189,0.66,0.113,0.009,0.028,0.039,0.157,0.804,0.0,0.0,0.256,0.083,0.083,0.577,0.0,0.01,0.0,0.0,0.0,0.99
centrality,6,hf,0.739,0.0,6,6,6,6,6,30,0.661,0.292,0.042,0.006,0.0,0.189,0.67,0.104,0.009,0.028,0.039,0.137,0.824,0.0,0.0,0.237,0.096,0.09,0.577,0.0,0.01,0.0,0.0,0.0,0.99
centrality,0.01,hf,0.632,0.0,2,2,1,2,2,9,0.44,0.524,0.024,0.012,0.0,0.302,0.66,0.009,0.0,0.028,0.216,0.157,0.627,0.0,0.0,0.487,0.064,0.058,0.391,0.0,0.01,0.0,0.0,0.0,0.99
centrality,0.02,hf,0.685,0.0,4,3,2,4,4,17,0.53,0.381,0.083,0.006,0.0,0.179,0.66,0.132,0.0,0.028,0.157,0.196,0.647,0.0,0.0,0.327,0.071,0.071,0.532,0.0,0.01,0.0,0.0,0.0,0.99
centrality,0.03,hf,0.731,0.0,6,4,2,5,6,23,0.726,0.226,0.042,0.006,0.0,0.274,0.585,0.104,0.009,0.028,0.157,0.196,0.647,0.0,0.0,0.288,0.071,0.064,0.577,0.0,0.01,0.0,0.0,0.0,0.99
centrality,0.04,hf,0.748,0.0,7,5,3,7,8,30,0.738,0.226,0.03,0.006,0.0,0.274,0.594,0.094,0.009,0.028,0.078,0.216,0.706,0.0,0.0,0.244,0.083,0.051,0.622,0.0,0.01,0.0,0.0,0.0,0.99
centrality,0.05,hf,0.749,0.0,9,6,3,8,10,36,0.702,0.256,0.03,0.012,0.0,0.198,0.67,0.094,0.009,0.028,0.078,0.216,0.706,0.0,0.0,0.231,0.096,0.051,0.622,0.0,0.01,0.0,0.0,0.0,0.99
